OTU	Acanthamunnopsis3	Cyclothone1	Cyclothone2	Cyclothone3	Cyclothone4	Euphausia1	Euphausia2	Euphausia3	Euphausia4	Stenobrachius1	Stenobrachius2	Stenobrachius3	Stenobrachius4	Poeobius1	Poeobius3	Eusergestes1	Eusergestes2	Eusergestes4
OTU201	0	0	0	0	0	0	0	0	0	32	28	37	55	0	0	0	1	0
OTU206	1	4	2	1	0	7	18	16	9	0	1	0	0	0	0	0	0	0
OTU212	7	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0
OTU218	1	0	0	0	1	1	0	0	0	4	0	1	0	0	0	1	0	2
OTU219	0	16	24	31	2	0	0	0	0	0	2	2	0	0	0	11	11	7
OTU223	0	22	26	31	0	0	0	0	0	0	0	1	0	0	1	0	0	0
OTU225	0	0	0	0	0	4	3	1	2	0	0	0	0	3	0	0	2	1
OTU239	0	3	3	0	40	120	263	141	77	7	8	15	11	0	0	0	0	0
OTU244	3	0	15	0	0	0	0	8	0	87	280	0	64	0	0	0	0	0
OTU245	86	0	31	7	14	9	7	82	3	615	108	118	78	17	3	28	1	65
OTU247	3	0	2	0	2	0	0	2	0	7	2	4	1	1	0	0	1	1
OTU260	0	0	0	0	1	1	0	0	0	1	0	1	0	0	0	10	7	16
OTU268	0	0	0	1	1	1	0	0	0	1	0	0	1	7	21	2	2	0
OTU271	0	2	7	4	2	2	0	1	0	1	8	1	4	0	0	2	4	1
