ASV	Acanthamunnopsis3	Cyclothone1	Cyclothone2	Cyclothone3	Cyclothone4	Euphausia1	Euphausia2	Euphausia3	Euphausia4	Stenobrachius1	Stenobrachius2	Stenobrachius3	Stenobrachius4	Poeobius1	Poeobius3	Eusergestes1	Eusergestes2	Eusergestes4
Zotu177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	477	282	0
Zotu1842	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0
Zotu188	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	579	0
Zotu189	81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu2021	0	10	0	0	0	2	0	0	3	0	0	0	0	0	0	0	0	0
Zotu321	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	171	0
Zotu354	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	268	0
Zotu444	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	99	63	0
Zotu5	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	27680	28184	7169
Zotu567	0	47	0	0	0	1	0	0	8	0	0	0	0	0	0	0	66	0
Zotu586	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu65	0	5	0	0	0	0	0	10	0	0	0	0	0	0	0	0	3512	103
Zotu761	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu78	0	21	0	0	0	0	6	0	0	0	0	0	0	0	0	0	2456	177
Zotu91	0	0	0	0	0	0	0	81	0	0	0	0	0	0	0	0	615	0
Zotu158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	377	0
Zotu241	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	179	0
Zotu721	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	118	0
Zotu90	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	1229	301
Zotu1203	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	26
Zotu1215	0	0	0	0	0	2	0	60	0	0	0	0	0	0	0	0	0	0
Zotu187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	351	0
Zotu330	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	241	0
Zotu502	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	148	0
Zotu659	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	0
Zotu668	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	140	0
Zotu696	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	96	0
Zotu1096	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu2037	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0
Zotu1202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu110	0	370	0	0	0	0	0	213	0	0	0	0	22	0	0	0	0	0
Zotu1229	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu2215	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1559	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0
Zotu1698	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1815	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0
Zotu1874	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu2231	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu255	0	5	0	0	0	0	0	0	3	0	0	0	0	0	0	0	308	109
Zotu636	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65	0
Zotu909	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	76	0
Zotu911	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64	0
Zotu1099	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0
Zotu1146	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	7	0
Zotu1613	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1956	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0
Zotu2038	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0
Zotu2099	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu2223	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu2335	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu2363	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu385	0	94	0	0	0	0	0	13	0	0	0	0	0	0	0	0	31	0
Zotu641	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	125	0
Zotu749	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	67	0
Zotu788	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0
Zotu1056	0	1	0	0	0	1	0	56	0	0	0	0	0	0	0	0	0	0
Zotu2	0	669	0	27	0	10166	9299	24926	73218	338	427	157	80	0	0	0	0	0
Zotu2069	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu2307	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1479	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu583	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	93	0
Zotu1060	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1632	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1918	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu2263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu2337	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu843	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	79
Zotu231	0	0	0	14	0	0	0	14	0	0	0	0	0	0	0	0	0	0
Zotu1141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53	0
Zotu1737	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
Zotu264	0	0	0	0	0	0	0	0	0	0	0	0	0	429	0	0	0	0
Zotu21	0	296	0	0	0	1160	21	494	3	0	4053	10828	2302	0	0	0	0	0
Zotu2024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0
Zotu924	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
Zotu1240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1282	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	0
Zotu1570	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu2270	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12
Zotu1294	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59	0
Zotu887	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	87	0
Zotu1781	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0
Zotu755	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	40	0
Zotu1275	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
